"timeMillisSpent","score"
8666,"1340hard/-23680soft"
8704,"1340hard/-23560soft"
8778,"1340hard/-23540soft"
8825,"1340hard/-23480soft"
9039,"1340hard/-23440soft"
9070,"1340hard/-23420soft"
9070,"1340hard/-23340soft"
9096,"1340hard/-23260soft"
9234,"1340hard/-23240soft"
9246,"1340hard/-23220soft"
9287,"1340hard/-23160soft"
9294,"1340hard/-23040soft"
9371,"1340hard/-22880soft"
9629,"1340hard/-22860soft"
9630,"1340hard/-22840soft"
9632,"1340hard/-22760soft"
9763,"1340hard/-22560soft"
9983,"1340hard/-22520soft"
10033,"1340hard/-22500soft"
10059,"1340hard/-22440soft"
10080,"1340hard/-22400soft"
10080,"1340hard/-22300soft"
10424,"1340hard/-22280soft"
10464,"1340hard/-22240soft"
10478,"1340hard/-22200soft"
10480,"1340hard/-22100soft"
10541,"1340hard/-22080soft"
10546,"1340hard/-22060soft"
10553,"1340hard/-22040soft"
10568,"1340hard/-21980soft"
10607,"1340hard/-21960soft"
10628,"1340hard/-21940soft"
10644,"1340hard/-21920soft"
10652,"1340hard/-21880soft"
10691,"1340hard/-21840soft"
10779,"1340hard/-21820soft"
11205,"1340hard/-21780soft"
11293,"1340hard/-21720soft"
11469,"1340hard/-21640soft"
11918,"1340hard/-21580soft"
12062,"1340hard/-21540soft"
12291,"1340hard/-21480soft"
12432,"1340hard/-21420soft"
12433,"1340hard/-21380soft"
12740,"1340hard/-21260soft"
12785,"1340hard/-21200soft"
12818,"1340hard/-21120soft"
13014,"1340hard/-21000soft"
13143,"1340hard/-20980soft"
13237,"1340hard/-20900soft"
13345,"1340hard/-20860soft"
13481,"1340hard/-20780soft"
13611,"1340hard/-20760soft"
13613,"1340hard/-20720soft"
14163,"1340hard/-20680soft"
14209,"1340hard/-20660soft"
14235,"1340hard/-20620soft"
14247,"1340hard/-20580soft"
14252,"1340hard/-20560soft"
14310,"1340hard/-20520soft"
14343,"1340hard/-20460soft"
14420,"1340hard/-20420soft"
14699,"1340hard/-20400soft"
14798,"1340hard/-20380soft"
14898,"1340hard/-20360soft"
14996,"1340hard/-20340soft"
15070,"1340hard/-20280soft"
15183,"1340hard/-20240soft"
15509,"1340hard/-20160soft"
15833,"1340hard/-20140soft"
16434,"1340hard/-20100soft"
16462,"1340hard/-20060soft"
16490,"1340hard/-19980soft"
16713,"1340hard/-19880soft"
16847,"1340hard/-19800soft"
17056,"1340hard/-19760soft"
17475,"1340hard/-19720soft"
17543,"1340hard/-19680soft"
17559,"1340hard/-19640soft"
17573,"1340hard/-19560soft"
17692,"1340hard/-19480soft"
17867,"1340hard/-19440soft"
17984,"1340hard/-19380soft"
17984,"1340hard/-19260soft"
18450,"1340hard/-19180soft"
18467,"1340hard/-19160soft"
18478,"1340hard/-19140soft"
18566,"1340hard/-19120soft"
18640,"1340hard/-19080soft"
18722,"1340hard/-19060soft"
18830,"1340hard/-19020soft"
