"timeMillisSpent","score"
112273,"1340hard/-18360soft"
115289,"1340hard/-18320soft"
116038,"1340hard/-18300soft"
116059,"1340hard/-18280soft"
119511,"1340hard/-18260soft"
121137,"1340hard/-18220soft"
123034,"1340hard/-18180soft"
123945,"1340hard/-18160soft"
123982,"1340hard/-18140soft"
124060,"1340hard/-18080soft"
125824,"1340hard/-18060soft"
126091,"1340hard/-18040soft"
126906,"1340hard/-18020soft"
127551,"1340hard/-18000soft"
127628,"1340hard/-17980soft"
130345,"1340hard/-17940soft"
132747,"1340hard/-17880soft"
135338,"1340hard/-17860soft"
135501,"1340hard/-17840soft"
136864,"1340hard/-17800soft"
137430,"1340hard/-17780soft"
139626,"1340hard/-17760soft"
141163,"1340hard/-17740soft"
141164,"1340hard/-17700soft"
141265,"1340hard/-17680soft"
141696,"1340hard/-17660soft"
142859,"1340hard/-17640soft"
145138,"1340hard/-17580soft"
148272,"1340hard/-17540soft"
148596,"1340hard/-17520soft"
152095,"1340hard/-17500soft"
152175,"1340hard/-17460soft"
155662,"1340hard/-17380soft"
157304,"1340hard/-17320soft"
166083,"1340hard/-17300soft"
167348,"1340hard/-17280soft"
168753,"1340hard/-17260soft"
169896,"1340hard/-17240soft"
170705,"1340hard/-17220soft"
172538,"1340hard/-17200soft"
174084,"1340hard/-17160soft"
175693,"1340hard/-17140soft"
176264,"1340hard/-17120soft"
178808,"1340hard/-17100soft"
178845,"1340hard/-17080soft"
182736,"1340hard/-17060soft"
183250,"1340hard/-17040soft"
183298,"1340hard/-16960soft"
184055,"1340hard/-16920soft"
184370,"1340hard/-16880soft"
191001,"1340hard/-16860soft"
193109,"1340hard/-16840soft"
196754,"1340hard/-16820soft"
196911,"1340hard/-16800soft"
199184,"1340hard/-16760soft"
199498,"1340hard/-16740soft"
199506,"1340hard/-16640soft"
206117,"1340hard/-16600soft"
212328,"1340hard/-16580soft"
215599,"1340hard/-16560soft"
219321,"1340hard/-16540soft"
219999,"1340hard/-16520soft"
220542,"1340hard/-16500soft"
221765,"1340hard/-16440soft"
225389,"1340hard/-16420soft"
227948,"1340hard/-16400soft"
231936,"1340hard/-16380soft"
232644,"1340hard/-16320soft"
240389,"1340hard/-16300soft"
242001,"1340hard/-16280soft"
243242,"1340hard/-16200soft"
259981,"1340hard/-16180soft"
263526,"1340hard/-16160soft"
265151,"1340hard/-16120soft"
269885,"1340hard/-16080soft"
278839,"1340hard/-16060soft"
282562,"1340hard/-16040soft"
282920,"1340hard/-16020soft"
283167,"1340hard/-16000soft"
297715,"1340hard/-15960soft"
